path,manual_transcript,keyword,source,predict
/home/v2129375/dataset/catslu_test/data/video/audios/1fc0b11c60a4362dbb3acf6e5cf6b15e_59aa69383327930c4100011f.wav,我要看乐高未来骑士团,乐高未来骑士团,video,video
/home/v2129375/dataset/catslu_traindev/data/video/audios/d44a2b5a9cf9ca16ab962b264b3b85aa_54a51a1f332793157e00001b.wav,请播放我的前半生第五集,我的前半生,video,video
/home/v2129375/dataset/catslu_test/data/video/audios/c1b5cccb70f510cb7ed7430c60e7dc70_59b7b176332793091500000d.wav,我想看葫芦兄弟,葫芦兄弟,video,video
/home/v2129375/dataset/catslu_test/data/video/audios/0aac7c75a2f607dd21e3d46e686d114a_59bf2de433279307a80000b0.wav,有没有纸牌屋第三季,纸牌屋,video,video
/home/v2129375/dataset/catslu_test/data/video/audios/6b0a78bb1efd36c87abf4e87c34747a0_59b124b43327930c43000038.wav,小乐播放小白兔,小白兔,video,video
/home/v2129375/dataset/catslu_test/data/video/audios/f7685946c17a88aad81b480201152525_59cdeb213327930292000173.wav,红日,红日,video,video
/home/v2129375/dataset/catslu_test/data/video/audios/1cd0cd6a0dfbce1fc79b1278ce206359_59ae49673327930c3c000073.wav,我要看海绵宝宝,海绵宝宝,video,video
/home/v2129375/dataset/catslu_test/data/video/audios/04e633a2b571a214974fa4adba126339_59c89bf53327930c46000010.wav,我想看小跳蛙,小跳蛙,video,video
/home/v2129375/dataset/catslu_test/data/video/audios/bb79fd5be898e62008183c38859e24a5_59b11e12332793091c000003.wav,小公主苏菲亚第五集,小公主苏菲亚,video,video
/home/v2129375/dataset/catslu_test/data/video/audios/b4651f8b0e677e0c2d6c0f2df28fc8aa_59ba1c753327930c4b0005a3.wav,聪明的一休第十集,聪明的一休,video,video
/home/v2129375/dataset/catslu_test/data/video/audios/df0ccdc9c5b6e94500c9b6d26dc52e57_59c3c27733279311af000033.wav,我要看东京很热,东京很热,video,video
/home/v2129375/dataset/catslu_test/data/video/audios/808ac8e239311ff460f97bd5592aa107_59cb931b8827ad007500000e.wav,小猪佩奇,小猪佩奇,video,video
/home/v2129375/dataset/catslu_test/data/video/audios/df86737f7c663e7107f3324a21707928_59aa77078827ad0075000060.wav,给我放一个灰姑娘第三季,灰姑娘,video,video
/home/v2129375/dataset/catslu_test/data/video/audios/e7189387967653feb6c386353c8fdcdc_59cb8ddf3327930c4d000026.wav,小猪佩奇动画片,小猪佩奇,video,video
/home/v2129375/dataset/catslu_test/data/video/audios/464bf7700f09fc535c63f72924959b31_59b62ba93327930938000031.wav,打开斗地主,斗地主,video,video
/home/v2129375/dataset/catslu_traindev/data/video/audios/c356ccbd469007fa8e2221bb0eb6d525_59b273473327930c50000006.wav,我想看小龙人,小龙人,video,video
/home/v2129375/dataset/catslu_test/data/video/audios/5a6c0b4cc7efd8fc4ab79e88125fd3ad_59c7261a3327930925000013.wav,请播放功夫之王,功夫之王,video,video
/home/v2129375/dataset/catslu_test/data/video/audios/060f081e2052ae6b2f42b8f231b4a7a8_59c262d33327930c3400002a.wav,我要看米奇妙妙屋,米奇妙妙屋,video,video
/home/v2129375/dataset/catslu_test/data/video/audios/9889b2742d229aebdfc7357bf3f56160_59c64cad3327930c39000094.wav,小猪佩奇,小猪佩奇,video,video
/home/v2129375/dataset/catslu_test/data/video/audios/422b1a942d1f25d43a3ab1ef1ab3a0b3_59ae27e63327930db7000011.wav,我想看人民的名义第八集,人民的名义,video,video
/home/v2129375/dataset/catslu_test/data/video/audios/f107fb5e118f853debba538f5a62d7d8_59b677778b6879003700004f.wav,十万个为什么,十万个为什么,video,video
/home/v2129375/dataset/catslu_test/data/video/audios/843ef3198d65739a146bccb8bf6f11d8_59bb7693332793154f000039.wav,我想看花千骨,花千骨,video,video
/home/v2129375/dataset/catslu_test/data/video/audios/dcd5f1025786164be84ee801f690d2ad_59c73396332793091b00000f.wav,泰罗奥特曼,泰罗奥特曼,video,video
/home/v2129375/dataset/catslu_test/data/video/audios/1ba1752e8bf68f43277a1edabab4f62c_59b0c5423327930c99000064.wav,小猪佩奇,小猪佩奇,video,video
/home/v2129375/dataset/catslu_traindev/data/video/audios/257a63a18e00c8f320251a3749da28b6_59c8b2693327930c43000065.wav,播放兔小贝儿歌第十集,兔小贝儿歌,video,video
/home/v2129375/dataset/catslu_test/data/video/audios/98afad825faa1aa428af2351d5374a12_59aa0f25332793092300001f.wav,红楼梦,红楼梦,video,video
