path,manual_transcript,keyword,asr
/Data/dataset/catslu_traindev/data/weather/audios/e6301dbacf5000107ae50fc23f87a43a_59aa464790ee6d0219000009.wav,北京的天气怎么样,北京,且北京的天气怎么样
/Data/dataset/catslu_traindev/data/weather/audios/0b5eadf7eede6fb3aed9d64bd9de14a6_59c5d97a3327930c4b00008f.wav,上海明天有雨吗旅客们请注意,上海,上海明天有雨吗给客们请注意
/Data/dataset/catslu_traindev/data/weather/audios/7a09bef89e10b3ffa7104ec840011342_59ccae608827ad007c000008.wav,今天深圳天气怎么样,深圳,今天深圳天气怎么样
/Data/dataset/catslu_traindev/data/weather/audios/d5aac5eb2ecbde824aa58e5386326500_59b101a98b68790039000019.wav,江门天气预报,江门,蒋满天气预报
/Data/dataset/catslu_traindev/data/weather/audios/013b445d9bd8516ddaf20b7e326983d0_59c669898b68790039000010.wav,明天澳门的天气预报,澳门,咱走老弟是我白外一么明天澳我们的天气预报
/Data/dataset/catslu_traindev/data/weather/audios/013b445d9bd8516ddaf20b7e326983d0_59c6699f8b68790039000013.wav,澳门明天天气,澳门,澳门明天天气
/Data/dataset/catslu_traindev/data/weather/audios/a8e540e4fd2e8d2abc73fd741aaa534f_59aa4a2b3327930c570001af.wav,小乐今天上海的天气怎么样,上海,想了今天上海的天气怎么样
/Data/dataset/catslu_traindev/data/weather/audios/9bc6f2b54e052cdb0389db838e2229cc_59cb855590ee6d0219000011.wav,郑州今天的天气是什么情况,郑州,郑州今天的天气是什么情况
/Data/dataset/catslu_traindev/data/weather/audios/a6506380a2d44d30b6d5980758faad0b_000004d28b68790034000004.wav,今天深圳天气怎么样,深圳,今天三天天气怎么样
/Data/dataset/catslu_traindev/data/weather/audios/bfd1fcb4ca3fe189d30bfaee3a7ce329_59c5f05a90ee6d0219000005.wav,深圳明天的天气怎么样,深圳,现在明天的天气怎么样
/Data/dataset/catslu_traindev/data/weather/audios/7b808b03be2fdcbb2b5bb2f3c944b4e4_59bddd3933279305ad000037.wav,今天北京什么天气,北京,今天北京什么天气
/Data/dataset/catslu_traindev/data/weather/audios/cf294c41aa6b1d7e8b6c23d49bc357a0_59bc88468827ad007c000018.wav,西安今天的天气怎么样,西安,西安今天的天气怎么样
/Data/dataset/catslu_traindev/data/weather/audios/c4695d41890d52a4e1e6633adde3d1b0_59cde9a73327930c4400000b.wav,今天福州什么天气啊,福州,今年福州什么天气啊
/Data/dataset/catslu_traindev/data/weather/audios/4835d1b2be38f15e1cf2e59a8d065917_59cb8b4290ee6d0219000007.wav,广州的天气怎么样,广州,冠军选择广州的天气怎么样
/Data/dataset/catslu_traindev/data/weather/audios/b7f98e0be3f81018ec60a69cef8e98ef_59bc65f2332793576e00000c.wav,自贡市,自贡市,自贡是
/Data/dataset/catslu_traindev/data/weather/audios/ae117f8f501f1d2dced01edf81b104b0_59a8e10b3327930c680000c3.wav,今天东莞的天气怎么样,东莞,今天东风的天气怎么样
